1680	15.5651	5.19604	5.25838	2.56305e-07	-4.29311e-07	0.125	0.5	3.99997	
1696	15.8472	4.78738	5.3826	3.07524e-07	-3.94245e-07	0.125	0.5	3.99997	
1712	16.1777	4.41683	5.50682	3.54003e-07	-3.53103e-07	0.125	0.5	3.99997	
1728	16.5517	4.0901	5.63105	3.95026e-07	-3.0652e-07	0.125	0.5	3.99997	
1744	16.9632	3.81221	5.75527	4.29961e-07	-2.55213e-07	0.125	0.5	3.99997	
1760	17.406	3.58746	5.87949	4.5827e-07	-1.99972e-07	0.125	0.5	3.99997	
1776	17.8733	3.4193	6.00372	4.79516e-07	-1.41649e-07	0.125	0.5	3.99997	
1792	18.3577	3.31033	6.12794	4.93372e-07	-8.11437e-08	0.125	0.5	3.99997	
1808	18.852	3.26223	6.25216	4.99624e-07	-1.93875e-08	0.125	0.5	3.99997	
1824	19.3484	3.27574	0.0932029	4.98176e-07	4.26675e-08	0.125	0.5	3.99997	
1840	19.8393	3.35065	0.217426	4.89051e-07	1.04065e-07	0.125	0.5	3.99997	
1856	20.3171	3.48581	0.34165	4.72388e-07	1.63858e-07	0.125	0.5	3.99997	
1872	20.7745	3.67913	0.465874	4.48445e-07	2.21127e-07	0.125	0.5	3.99997	
1888	21.2044	3.92764	0.590097	4.17591e-07	2.74987e-07	0.125	0.5	3.99997	
1904	21.6002	4.2275	0.714321	3.80301e-07	3.24609e-07	0.125	0.5	3.99997	
1920	21.9559	4.57409	0.838544	3.3715e-07	3.69229e-07	0.125	0.5	3.99997	
1936	22.2658	4.96207	0.962768	2.88803e-07	4.08158e-07	0.125	0.5	3.99997	
1952	22.5252	5.38547	1.08699	2.36005e-07	4.40797e-07	0.125	0.5	3.99997	
1968	22.7303	5.83775	1.21122	1.79569e-07	4.66642e-07	0.125	0.5	3.99997	
1984	22.8776	6.31195	1.33544	1.20367e-07	4.85296e-07	0.125	0.5	3.99997	
2000	22.9651	6.80076	1.45966	5.93089e-08	4.9647e-07	0.125	0.5	3.99997	
2016	22.9914	7.29664	1.58389	-2.66289e-09	4.99993e-07	0.125	0.5	3.99997	
2032	22.956	7.79195	1.70811	-6.45937e-08	4.9581e-07	0.125	0.5	3.99997	
2048	22.8595	8.27906	1.83233	-1.25529e-07	4.83986e-07	0.125	0.5	3.99997	
2064	22.7034	8.75047	1.95656	-1.8453e-07	4.64703e-07	0.125	0.5	3.99997	
2080	22.4901	9.1989	2.08078	-2.40686e-07	4.38258e-07	0.125	0.5	3.99997	
2096	22.2229	9.61744	2.205	-2.93134e-07	4.05059e-07	0.125	0.5	3.99997	
2112	21.9059	9.99965	2.32923	-3.41063e-07	3.65617e-07	0.125	0.5	3.99997	
2128	21.544	10.3396	2.45345	-3.83737e-07	3.2054e-07	0.125	0.5	3.99997	
2144	21.1427	10.6322	2.57767	-4.20496e-07	2.70524e-07	0.125	0.5	3.99997	
2160	20.7083	10.8727	2.7019	-4.50775e-07	2.16338e-07	0.125	0.5	3.99997	
2176	20.2474	11.0576	2.82612	-4.74106e-07	1.58818e-07	0.125	0.5	3.99997	
2192	19.7671	11.1839	2.95035	-4.90131e-07	9.88499e-08	0.125	0.5	3.99997	
2208	19.2749	11.2498	3.07457	-4.98602e-07	3.73588e-08	0.125	0.5	3.99997	
2224	18.7784	11.2541	3.19879	-4.99389e-07	-2.47081e-08	0.125	0.5	3.99997	
2240	18.2851	11.1969	3.32302	-4.92479e-07	-8.63942e-08	0.125	0.5	3.99997	
2256	17.8027	11.0791	3.44724	-4.7798e-07	-1.46749e-07	0.125	0.5	3.99997	
2272	17.3387	10.9023	3.57146	-4.56114e-07	-2.04842e-07	0.125	0.5	3.99997	
2288	16.9001	10.6695	3.69569	-4.27218e-07	-2.59778e-07	0.125	0.5	3.99997	
2304	16.4937	10.3841	3.81991	-3.91739e-07	-3.1071e-07	0.125	0.5	3.99997	
2320	16.1259	10.0505	3.94413	-3.50222e-07	-3.56854e-07	0.125	0.5	3.99997	
2336	15.8022	9.67391	4.06836	-3.03307e-07	-3.97498e-07	0.125	0.5	3.99997	
2352	15.5276	9.26012	4.19258	-2.51718e-07	-4.32016e-07	0.125	0.5	3.99997	
2368	15.3065	8.81551	4.31681	-1.9625e-07	-4.59876e-07	0.125	0.5	3.99997	
2384	15.1421	8.34693	4.44103	-1.37757e-07	-4.80649e-07	0.125	0.5	3.99997	
2400	15.0371	7.86159	4.56525	-7.71408e-08	-4.94013e-07	0.125	0.5	3.99997	
2416	14.993	7.36697	4.68948	-1.5336e-08	-4.99765e-07	0.125	0.5	3.99997	
2432	15.0105	6.87071	4.8137	4.67052e-08	-4.97814e-07	0.125	0.5	3.99997	
2448	15.0894	6.38044	4.93792	1.08027e-07	-4.88191e-07	0.125	0.5	3.99997	
2464	15.2284	5.90372	5.06215	1.67683e-07	-4.71044e-07	0.125	0.5	3.99997	
2480	15.4255	5.4479	5.18637	2.24755e-07	-4.46637e-07	0.125	0.5	3.99997	
2496	15.6774	5.02001	5.31059	2.78364e-07	-4.15348e-07	0.125	0.5	3.99997	
2512	15.9805	4.62663	5.43482	3.27682e-07	-3.77656e-07	0.125	0.5	3.99997	
2528	16.33	4.27384	5.55904	3.7195e-07	-3.34145e-07	0.125	0.5	3.99997	
2544	16.7205	3.96707	5.68326	4.10486e-07	-2.85484e-07	0.125	0.5	3.99997	
2560	17.1459	3.71104	5.80749	4.42696e-07	-2.32423e-07	0.125	0.5	3.99997	
2576	17.5999	3.5097	5.93171	4.68083e-07	-1.7578e-07	0.125	0.5	3.99997	
2592	18.0752	3.36617	6.05594	4.86256e-07	-1.16428e-07	0.125	0.5	3.99997	
2608	18.5647	3.28263	6.18016	4.96935e-07	-5.52817e-08	0.125	0.5	3.99997	
2624	19.0608	3.2604	0.0211977	4.99955e-07	6.71666e-09	0.125	0.5	3.99997	
2640	19.5558	3.2998	0.145421	4.9527e-07	6.86115e-08	0.125	0.5	3.99997	
2656	20.0421	3.40023	0.269645	4.82952e-07	1.29449e-07	0.125	0.5	3.99997	
2672	20.5123	3.56014	0.393869	4.63192e-07	1.88291e-07	0.125	0.5	3.99997	
2688	20.959	3.77707	0.518092	4.36292e-07	2.44232e-07	0.125	0.5	3.99997	
2704	21.3753	4.04768	0.642316	4.02669e-07	2.96408e-07	0.125	0.5	3.99997	
2720	21.755	4.36779	0.766539	3.6284e-07	3.44017e-07	0.125	0.5	3.99997	
2736	22.092	4.73247	0.890763	3.17418e-07	3.86323e-07	0.125	0.5	3.99997	
2752	22.3812	5.1361	1.01499	2.67105e-07	4.22676e-07	0.125	0.5	3.99997	
2768	22.6183	5.57246	1.13921	2.12676e-07	4.52514e-07	0.125	0.5	3.99997	
2784	22.7994	6.03483	1.26343	1.54968e-07	4.75379e-07	0.125	0.5	3.99997	
2800	22.9218	6.51607	1.38766	9.48728e-08	4.90917e-07	0.125	0.5	3.99997	
2816	22.9837	7.00878	1.51188	3.3315e-08	4.98889e-07	0.125	0.5	3.99997	
2832	22.984	7.50536	1.6361	-2.87562e-08	4.99172e-07	0.125	0.5	3.99997	
2848	22.9228	7.99815	1.76033	-9.03843e-08	4.91763e-07	0.125	0.5	3.99997	
2864	22.8011	8.47956	1.88455	-1.50619e-07	4.76774e-07	0.125	0.5	3.99997	
2880	22.6206	8.94218	2.00878	-2.08533e-07	4.54438e-07	0.125	0.5	3.99997	
2896	22.3842	9.37886	2.133	-2.63233e-07	4.25098e-07	0.125	0.5	3.99997	
2912	22.0955	9.78289	2.25722	-3.13876e-07	3.89207e-07	0.125	0.5	3.99997	
2928	21.7589	10.148	2.38145	-3.59682e-07	3.47317e-07	0.125	0.5	3.99997	
2944	21.3797	10.4687	2.50567	-3.99944e-07	3.00074e-07	0.125	0.5	3.99997	
2960	20.9637	10.7398	2.62989	-4.34043e-07	2.48207e-07	0.125	0.5	3.99997	
2976	20.5173	10.9574	2.75412	-4.61452e-07	1.92515e-07	0.125	0.5	3.99997	
2992	20.0474	11.1179	2.87834	-4.8175e-07	1.33855e-07	0.125	0.5	3.99997	
3008	19.5613	11.219	3.00256	-4.94623e-07	7.31329e-08	0.125	0.5	3.99997	
3024	19.0663	11.2591	3.12679	-4.99873e-07	1.12835e-08	0.125	0.5	3.99997	
3040	18.5702	11.2376	3.25101	-4.97419e-07	-5.07399e-08	0.125	0.5	3.99997	
3056	18.0806	11.1547	3.37523	-4.87299e-07	-1.11981e-07	0.125	0.5	3.99997	
3072	17.605	11.0118	3.49946	-4.69669e-07	-1.71497e-07	0.125	0.5	3.99997	
3088	17.1508	10.8111	3.62368	-4.448e-07	-2.28369e-07	0.125	0.5	3.99997	
3104	16.725	10.5557	3.74791	-4.13077e-07	-2.81722e-07	0.125	0.5	3.99997	
3120	16.3341	10.2494	3.87213	-3.74987e-07	-3.30733e-07	0.125	0.5	3.99997	
3136	15.9841	9.8971	3.99635	-3.31118e-07	-3.74647e-07	0.125	0.5	3.99997	
3152	15.6805	9.50415	4.12058	-2.82146e-07	-4.12787e-07	0.125	0.5	3.99997	
3168	15.4279	9.0766	4.2448	-2.28826e-07	-4.44566e-07	0.125	0.5	3.99997	
3184	15.2303	8.62105	4.36902	-1.71979e-07	-4.69492e-07	0.125	0.5	3.99997	
3200	15.0906	8.14453	4.49325	-1.12482e-07	-4.87184e-07	0.125	0.5	3.99997	
3216	15.0111	7.65436	4.61747	-5.12508e-08	-4.97366e-07	0.125	0.5	3.99997	
3232	14.9928	7.15812	4.74169	1.077e-08	-4.99884e-07	0.125	0.5	3.99997	
3248	15.0363	6.66345	4.86592	7.26248e-08	-4.94698e-07	0.125	0.5	3.99997	
3264	15.1406	6.17796	4.99014	1.3336e-07	-4.81887e-07	0.125	0.5	3.99997	
3280	15.3043	5.70915	5.11437	1.92041e-07	-4.6165e-07	0.125	0.5	3.99997	
3296	15.5249	5.26424	5.23859	2.47761e-07	-4.34298e-07	0.125	0.5	3.99997	
3312	15.7989	4.85008	5.36281	2.99663e-07	-4.00252e-07	0.125	0.5	3.99997	
3328	16.122	4.47306	5.48704	3.46947e-07	-3.60038e-07	0.125	0.5	3.99997	
3344	16.4894	4.13899	5.61126	3.88884e-07	-3.14276e-07	0.125	0.5	3.99997	
3360	16.8954	3.85302	5.73548	4.24827e-07	-2.6367e-07	0.125	0.5	3.99997	
3376	17.3337	3.61955	5.85971	4.54224e-07	-2.09e-07	0.125	0.5	3.99997	
